runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
60.28125,785.15,8.94,14.08,4.81,1.38,6.84,0.97,0.57,-0.43,9715820.0,13496820.0
59.6875,791.1,4.47,7.84,1.39,24.85,4.15,1.31,-0.43,-1.22,5404740.0,6700248.0
84.1875,793.72,6.6,11.62,0.54,1.52,2.44,0.79,-0.17,0.44,10136712.0,16115250.0
83.59375,789.54,14.04,19.14,3.63,0.02,3.91,0.87,0.07,0.57,22403836.0,28576498.0
74.71875,790.36,12.35,16.8,8.08,0.21,8.15,0.92,-0.06,-0.51,16339306.0,19264146.0
68.40625,789.08,14.85,20.2,9.3,1.56,9.35,1.21,0.47,-0.09,22596512.0,26299894.0
63.53125,790.9,12.58,16.39,10.03,11.69,10.97,0.94,0.01,-0.76,11977380.0,13905472.0
73.09375,790.42,12.89,17.8,6.84,5.74,10.72,0.92,-0.06,-0.35,16493482.0,19149896.0
75.625,785.61,17.03,22.16,8.95,0.91,12.78,0.88,0.57,0.3,18825894.0,21860184.0
69.375,780.78,18.13,23.14,13.41,0.82,13.78,1.06,0.53,0.16,13563176.0,15748772.0
64.4375,781.26,18.58,24.92,11.77,1.18,13.19,0.97,0.02,0.79,19257076.0,22367156.0
65.90625,783.05,17.26,23.34,12.21,5.79,14.23,1.08,0.18,-0.68,18401962.0,21376652.0
79.125,787.12,8.64,12.13,6.49,2.92,7.44,1.46,-0.23,-1.4,7724936.0,8974288.0
79.78125,783.07,10.87,16.77,6.7,1.06,8.63,1.11,0.6,-0.66,11715472.0,13613556.0
70.4375,782.29,13.84,20.69,9.04,1.31,10.39,1.32,0.38,-0.53,17438674.0,20266938.0
63.4375,786.83,8.96,11.74,5.51,11.05,7.64,1.51,-0.44,-1.42,6947158.0,8076180.0
74.34375,787.06,7.7,10.15,5.19,3.72,6.33,0.85,0.02,-0.78,4681608.0,5443764.0
78.5625,785.45,10.65,13.66,8.1,1.81,8.97,0.84,0.38,-0.62,7252132.0,8434820.0
71.25,782.59,13.42,19.01,8.62,1.38,10.19,1.23,0.6,-0.34,16148942.0,18781360.0
64.46875,785.13,13.49,19.66,9.25,2.28,10.09,1.31,0.29,-0.86,18009480.0,20948530.0
61.46875,786.35,10.38,12.84,8.48,2.25,8.86,1.23,0.31,-1.11,8242234.0,9588146.0
58.4375,782.04,15.64,23.39,9.17,0.45,10.21,1.29,0.91,0.05,16108508.0,18744276.0
53.5,783.83,16.26,23.69,10.36,1.06,10.48,1.35,0.62,-0.14,21199854.0,24683224.0
49.90625,784.58,16.45,24.3,10.94,0.56,10.38,1.57,0.6,0.06,21728270.0,25314402.0
